"","Date","Time","Latitude (deg)","Longitude (deg)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total radiated Energy (J)","Total Impact Energy (kt)"
"178",2019-11-05,"11:24:51",-10.4,-143.3,38,27.4,5.2,12.3,23.9,1.1e+11,0.33
"179",2019-10-22,"22:21:15",12,-76,40.7,NA,NA,NA,NA,2.7e+10,0.095
"180",2019-10-10,"16:16:36",44.3,122.9,47.3,14.1,1.5,-12.9,-5.4,2.06e+11,0.57
"181",2019-09-28,"10:40:20",-12.5,-107.2,52,20.4,-10.1,11.2,13.7,2.3e+10,0.082
"182",2019-09-27,"13:35:46",25.7,-28.4,NA,NA,NA,NA,NA,3.4e+10,0.12
"183",2019-09-14,"12:39:34",-38.6,-33.5,38,15.9,-12.9,8.1,4.6,1.09e+11,0.33
"184",2019-09-13,"02:02:04",-18.6,126.9,27.4,13.5,5.2,-8.1,9.5,4.2e+10,0.14
"185",2019-09-12,"12:49:48",54.5,9.2,42,18.5,-18.1,-0.4,3.7,1.69e+11,0.48
"186",2019-09-12,"02:34:58",24.9,-47.8,30.6,17.2,-11.7,11.7,4.6,5.9e+10,0.19
"187",2019-08-24,"12:02:59",21.9,-130.4,39.8,13.4,11.1,-5.2,5.4,4e+10,0.13
"188",2019-08-22,"21:47:29",-24.4,-92.9,30.2,NA,NA,NA,NA,2e+10,0.073
"189",2019-08-16,"20:36:05",38.9,7,36,14.9,-3.9,4,-13.8,2.5e+10,0.089
"190",2019-07-23,"20:42:58",44.6,-147.6,30.6,16.1,1.5,15.1,-5.5,2.55e+11,0.69
"191",2019-06-30,"16:52:58",21.2,-129.5,59,42.3,25.2,31.2,-13.3,3.2e+10,0.11
"192",2019-06-30,"08:11:29",-2.5,168.7,NA,NA,NA,NA,NA,2.1e+10,0.076
"193",2019-06-22,"21:25:48",14.9,-66.2,25,14.9,-13.4,6,2.5,2.947e+12,6
"194",2019-06-20,"06:07:32",7.3,-67.6,37,NA,NA,NA,NA,2.8e+10,0.098
"195",2019-05-26,"10:07:55",56.6,-25.3,24.4,17.5,3.8,-5.8,16.1,4.2e+10,0.14
"196",2019-05-25,"06:44:04",-19.2,89.4,29.2,15.8,0.2,-15.7,2.1,4.9e+10,0.16
"197",2019-05-22,"15:16:49",10.8,-37.3,32.6,NA,NA,NA,NA,9.5e+10,0.29
"198",2019-05-21,"13:21:35",-38.8,137.5,31.5,11.5,4.4,-8.5,6.4,6.56e+11,1.6
"199",2019-05-19,"14:47:03",-23.6,132.8,33.3,15.2,7.3,-12.2,5.3,3.3e+10,0.11
